Date   ;Time         Channel;Channel;BPM;Antenna;Power
2015-06-03;15:53:40;1;31.4;1;47
2015-06-03;15:53:42;1;31.4;1;48
2015-06-03;15:53:44;1;31.4;1;46
2015-06-03;15:53:46;1;31.4;1;48
2015-06-03;15:53:48;1;31.5;1;48
2015-06-03;15:53:50;1;31.4;1;43
2015-06-03;15:53:52;1;31.5;1;50
2015-06-03;15:53:54;1;31.4;1;48
2015-06-03;15:53:56;1;31.4;1;51
2015-06-03;15:53:58;1;31.4;1;49
2015-06-03;15:53:59;1;31.4;1;51
2015-06-03;15:54:01;1;31.4;1;43
2015-06-03;15:54:03;1;31.4;1;36
2015-06-03;15:54:05;1;31.4;1;39
2015-06-03;15:54:07;1;31.5;1;37
2015-06-03;15:54:09;1;31.5;1;44
2015-06-03;15:54:11;1;31.4;1;48
2015-06-03;15:54:13;1;31.4;1;49
2015-06-03;15:54:15;1;31.5;1;50
2015-06-03;15:54:17;1;31.5;1;50
2015-06-03;15:54:19;1;31.5;1;49
2015-06-03;15:54:20;1;31.5;1;50
2015-06-03;15:54:22;1;31.5;1;50
2015-06-03;15:54:24;1;31.4;1;50
2015-06-03;15:54:26;1;31.4;1;49
2015-06-03;15:54:28;1;31.5;1;47
2015-06-03;15:54:30;1;31.5;1;50
2015-06-03;15:54:32;1;31.5;1;48
2015-06-03;15:54:34;1;31.5;1;49
2015-06-03;15:54:36;1;31.5;1;48
2015-06-03;15:54:40;1;31.5;1;48
2015-06-03;15:54:41;1;31.5;1;49
2015-06-03;15:54:43;1;31.5;1;51
2015-06-03;15:54:45;1;31.5;1;49
2015-06-03;15:54:47;1;31.5;1;48
2015-06-03;15:54:49;1;31.5;1;51
2015-06-03;15:54:51;1;31.5;1;48
2015-06-03;15:54:53;1;31.5;1;47
2015-06-03;15:54:55;1;31.5;1;47
2015-06-03;15:54:57;1;31.5;1;48
2015-06-03;15:54:59;1;31.5;1;48
2015-06-03;15:55:01;1;31.5;1;48
2015-06-03;15:55:02;1;31.5;1;47
2015-06-03;15:55:04;1;31.5;1;47
2015-06-03;15:55:06;1;31.5;1;45
2015-06-03;15:55:08;1;31.5;1;49
2015-06-03;15:55:10;1;31.4;1;49
2015-06-03;15:55:12;1;31.5;1;49
2015-06-03;15:55:14;1;31.4;1;48
2015-06-03;15:55:16;1;31.4;1;49
2015-06-03;15:55:18;1;31.5;1;49
2015-06-03;15:55:20;1;31.5;1;47
2015-06-03;15:55:22;1;31.4;1;44
2015-06-03;15:55:23;1;31.4;1;43
2015-06-03;15:55:25;1;31.4;1;40
2015-06-03;15:55:27;1;31.4;1;43
2015-06-03;15:55:29;1;31.4;1;37
2015-06-03;15:55:31;1;31.4;1;41
2015-06-03;15:55:33;1;31.4;1;40
2015-06-03;15:55:35;1;31.4;1;43
2015-06-03;15:55:41;1;31.4;1;36
2015-06-03;15:55:43;1;31.4;1;34
2015-06-03;15:55:44;1;31.6;1;30
